,Wind1VelX_[m/s],RotSpeed_[rpm],BldPitch1_[deg],RtFldFxg_[N],GenPwr_[kW]
0,2.9999997541270798,3.566693355789751,3.8255441273794286,167931.34048362498,10.197752813293429
1,4.000045580437178,5.000469717175569,3.448113804586845,363277.0334917264,559.1829571823627
2,5.000091394758049,5.00093977382958,2.826454785663097,555202.6804645659,1417.6559304370392
3,6.00013723305738,5.001378414280432,1.545794089178274,803437.9386357237,2658.1190272449053
4,6.999847420819404,5.0018204745840675,0.11071835491317876,1068928.7296528134,4296.794916223024
5,7.999893283097203,5.641885956320782,0.00962848859206722,1381194.8541174156,6351.636128254395
6,8.999939001504215,6.31774422525879,0.00898789666632957,1725596.1913240002,8918.370543885792
7,9.250034367718754,6.487638559691134,0.011153570467164194,1816091.3403991633,9643.27014159331
8,9.500129745922534,6.652629804745966,0.010952457256638772,1907155.4949717077,10397.727785330946
9,9.749889521545931,6.823040346956731,0.27192581372361735,1971112.6793044247,11194.343410807405
10,9.999984887760476,6.991561901817471,0.8910435008108538,1987899.5117687394,11983.9520780768
11,10.250080253975018,7.168522602058717,1.605473592229366,1985021.278865677,12699.30252507408
12,10.499840065566117,7.341848936084558,2.224207531508794,1984384.1235933953,13363.596073734063
13,10.749935419791427,7.518789239648278,2.759424175525311,1988506.6509909383,14005.362989593637
14,11.000030786005967,7.554172092051895,3.1821262893257427,1979202.9402523169,14599.478733083062
15,11.250126140231277,7.5600290290350864,3.7711752523704494,1933315.4549733053,14981.580327014979
16,11.499886299510095,7.558237667926918,4.6104919141479375,1838091.6177830691,14985.326883352525
17,12.000077703336176,7.559482013027336,6.055182404063653,1684188.4569807914,14998.973530855352
18,13.00012364953859,7.560938815426392,8.16371177579006,1486407.1036991433,15001.863734567185
19,13.999834113052957,7.560620422910249,9.915633025281608,1344079.9427694832,15001.23168689082
20,14.999880107212297,7.5599974017299045,11.431039336197623,1236134.2163514183,14999.995670456972
21,15.999926053414724,7.560115074219925,12.810121860188948,1149368.7524472924,15000.22848695937
22,16.99997204757407,7.560301903732892,14.091792782336789,1077840.1271165959,15000.598609793582
23,18.000018017754943,7.560357330680221,15.297919814038206,1017984.0515529341,15000.708916843034
24,19.000064023903533,7.560388316235251,16.44275215452172,966859.1597319953,15000.770297108638
25,20.000110006073644,7.560357432009191,17.537121701309122,922795.8151582872,15000.71022244999
26,21.000155988243762,7.560434961338395,18.587054842858876,884402.150295448,15000.864074839224
27,21.99986665557507,7.5604775237284025,19.600098475955523,850519.6704115471,15000.948378550078
28,22.99991266172364,7.560593042977782,20.578865412580214,820883.6133906604,15001.176968568412
29,23.999958691850683,7.560513322409573,21.52847671208739,794817.4858362272,15001.021107553093
